TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
10. Vay và nợ thuê tài chính ngắn hạn,"39,264,447,000,000","49,117,465,000,000","41,331,112,000,000","73,621,719,000,000","43,642,452,000,000","48,404,237,000,000","52,329,301,000,000","103,583,833,000,000","80,758,597,000,000","84,188,617,000,000","106,138,767,000,000","109,757,777,000,000","81,277,695,000,000","171,676,891,000,000","179,758,633,000,000","232,510,850,000,000","255,334,468,000,000","160,661,447,000,000","160,234,123,000,000","213,841,980,000,000","171,488,381,000,000",,"217,260,367,000,000","234,653,406,000,000"
11. Dự phòng phải trả ngắn hạn,"36,941,947,000,000","47,480,965,000,000","39,520,112,000,000","71,051,146,000,000","42,548,452,000,000","46,551,237,000,000","50,569,301,000,000","100,916,433,000,000","78,270,597,000,000","80,671,606,000,000","101,596,167,000,000","104,043,817,000,000","75,589,555,000,000","159,084,451,000,000","173,006,463,000,000","222,040,585,000,000","237,183,063,000,000","155,314,392,000,000","155,074,365,000,000","193,966,218,000,000","163,347,269,000,000",,"209,221,998,000,000","223,272,984,000,000"
12. Quỹ khen thưởng phúc lợi,"2,322,500,000,000","1,636,500,000,000","1,811,000,000,000","2,570,573,000,000","1,094,000,000,000","1,853,000,000,000","1,760,000,000,000","2,667,400,000,000","2,488,000,000,000","3,517,011,000,000","4,542,600,000,000","5,713,960,000,000","5,688,140,000,000","12,592,440,000,000",,"10,470,265,000,000","18,151,405,000,000","5,347,055,000,000","5,159,758,000,000","19,875,762,000,000","8,141,112,000,000",,"8,038,369,000,000","11,380,422,000,000"
13. Quỹ bình ổn giá,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn,"838,277,163,000,000","870,860,074,000,000","902,184,481,000,000","928,413,676,000,000","934,048,243,000,000","981,218,388,000,000","981,492,077,000,000","1,032,113,567,000,000","1,025,547,607,000,000","1,051,273,660,000,000","1,108,418,876,000,000","1,135,323,913,000,000","1,179,668,881,000,000","1,195,391,576,000,000","1,197,150,901,000,000","1,243,468,472,000,000","1,281,487,916,000,000","1,326,853,836,000,000","1,349,007,010,000,000","1,395,694,611,000,000","1,347,325,611,000,000",,"1,430,071,020,000,000","1,514,664,850,000,000"
1. Phải trả người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
8. Vay và nợ thuê tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Trái phiếu chuyển đổi,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi,,,,,"365,859,000,000","59,126,000,000","33,796,000,000","52,031,000,000","63,982,000,000","30,621,000,000",,,"5,215,000,000","19,457,000,000","120,079,000,000",,,,"899,053,000,000","117,752,000,000","91,370,000,000",,"116,988,000,000",
11. Thuế thu nhập hoãn lại phải trả,,,,,,,,,,,,,,,,,,,,,,,,
12. Dự phòng phải trả dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,,,,,,,,,,,,,,,,,,,,
D.VỐN CHỦ SỞ HỮU,"1,000,340,086,000,000","1,045,633,626,000,000","1,076,099,113,000,000","1,138,227,698,000,000","1,059,198,276,000,000","1,095,684,373,000,000","1,094,996,063,000,000","1,228,677,618,000,000","1,177,958,179,000,000","1,198,698,174,000,000","1,275,708,552,000,000","1,303,594,825,000,000","1,345,670,470,000,000","1,479,402,030,000,000","1,521,274,777,000,000","1,676,199,767,000,000","1,701,772,932,000,000","1,552,272,005,000,000","1,572,062,054,000,000","1,670,680,015,000,000","1,600,099,458,000,000",,"1,742,064,907,000,000","1,886,441,134,000,000"
I. Vốn chủ sở hữu,,,,,,,,,,,,,,,,,,,,"61,696,139,000,000","61,696,139,000,000",,"61,696,139,000,000","61,696,139,000,000"
1. Vốn góp của chủ sở hữu,"37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","37,088,774,000,000","47,325,166,000,000","47,325,166,000,000","47,325,166,000,000","47,325,166,000,000","47,325,166,000,000",,"55,890,913,000,000","55,890,913,000,000","55,890,913,000,000",,"55,890,913,000,000","55,890,913,000,000"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,,,,,,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần,,,,,,,,,,,,,,,,"4,995,389,000,000",,,,,,,,
3. Quyền chọn chuyển đổi trái phiếu,"4,995,400,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","5,995,389,000,000","4,995,389,000,000","4,995,389,000,000",,"4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000","4,995,389,000,000",,"4,995,389,000,000","4,995,389,000,000"
4. Vốn khác của chủ sở hữu,,,,,,,,,,,,,,,,,,,,,,,,
5. Cổ phiếu quỹ,,,,,,,,,,,,,,,,,,,,,,,,
