,company_id,quarter,P,EPS,D/E,SIZE
4049,SBT,2014-01-01,-0.29837153652954107,-0.09246721686812948,-0.16821611668299158,0.2682694173268614
4050,SBT,2014-04-01,-0.30713489671257066,-0.0924672104891992,-0.16821611668299158,0.2682694173268614
4051,SBT,2014-07-01,-0.3129012222713761,-0.0924672132345616,-0.16821611668299158,0.2682694173268614
4052,SBT,2014-10-01,-0.32689152354014767,-0.0924672024146039,-0.16821611668299158,0.2682694173268614
4053,SBT,2015-04-01,-0.31992503054389926,-0.09246719583380875,0.08220296394636435,0.6734432786163703
4054,SBT,2016-01-01,0.021724220464480328,-0.09246720806682061,0.007377748270683025,0.710343254491671
4055,SBT,2016-04-01,0.1391637561428341,-0.09246720685563133,0.05260104312235385,0.764881129729014
4056,SBT,2016-07-01,0.16481989525378865,-0.09246721218486421,0.10470203636159851,0.8262009533548093
4057,SBT,2017-01-01,0.12597802996701743,-0.09246720798607466,0.15185090548539476,1.384823437918485
4058,SBT,2017-04-01,0.26050047707425844,-0.0924672063711556,0.09095305893762771,1.3545724998999669
4059,SBT,2017-07-01,0.37775188571683815,-0.0924672110140479,0.09101689662494135,1.3688970163109349
4060,SBT,2017-10-01,-0.14933689545957143,-0.09246721230598313,0.16962941633952774,1.3369932819780728
4061,SBT,2018-01-01,-0.3061892985864479,-0.09246722082468117,0.15315041845733401,1.3137048460557552
4062,SBT,2018-04-01,-0.3423572642036347,-0.09246723608566627,0.13697034198784688,1.29152370474244
4063,SBT,2018-07-01,-0.3187560101259439,-0.09246720540220417,0.1468335491801662,1.3110185082961543
4064,SBT,2018-10-01,-0.27458821297410696,-0.09246722191475154,0.1731427744986236,1.294848320377122
4065,SBT,2019-01-01,-0.2855844863506111,-0.09246722122841093,0.06682687678123952,1.3323736188171686
4066,SBT,2019-04-01,-0.3102328316818937,-0.09246706966825735,0.025409616600866113,1.314221374602353
4067,SBT,2019-07-01,-0.3195927257023663,-0.09246721069106409,0.02339505874670187,1.3518017523523052
4068,SBT,2019-10-01,-0.29328860629075476,-0.09246720847055037,0.025042882565849675,1.340155678988011
4069,SBT,2020-01-01,-0.3043473071401065,-0.09246721787745389,0.03243162538773748,1.3518945659977157
4070,SBT,2020-04-01,-0.35813615162105733,-0.09246720596742584,0.007476143778269305,1.34825589998208
4071,SBT,2020-07-01,-0.35805161046899037,-0.09246721157926957,0.06228824300296075,1.418786796881695
4072,SBT,2020-10-01,-0.309455318851389,-0.0924672113370317,0.07813162664294757,1.4203921321212984
4073,SBT,2021-01-01,-0.2454085305234227,-0.0924672132345616,0.0732941948885898,1.4496721270147486
4074,SBT,2021-04-01,-0.26091396459068,-0.09246721157926957,0.059506507559086694,1.5068741442632894
4075,SBT,2021-07-01,-0.2679390751718004,-0.09246721125628575,0.10303765312990235,1.5503821588004307
4076,SBT,2021-10-01,-0.21652536392107208,-0.09246720544257714,0.16742230538293765,1.6040510460732522
4077,SBT,2022-01-01,-0.22772298084847725,-0.09246721073143706,0.1541561647901014,1.613670466303099
4078,SBT,2022-04-01,-0.30265552602597556,-0.09246722066318927,0.18032441352515272,1.642868174562566
4079,SBT,2022-07-01,-0.30792518805868097,-0.09246721537432935,0.16865389376465934,1.6538642240022265
